"Image","Width","Height","Format","Bytes","Status"
"L1_Concept/v001/Unit_03_Infantry_L1_Concept_Alternate.png","1254","1254","PNG","1723990","L1 REFERENCE"
"L1_Concept/v001/Unit_03_Infantry_L1_Concept_Final.png","1254","1254","PNG","1981819","L1 REFERENCE"
"L1_Concept/v002_LinkedReference/Unit_03_Infantry_L1_Concept_Final.png","1254","1254","PNG","1981819","L1 REFERENCE"
"L2_Reference/v001/PREVIEW_Dimensions_Front.png","1400","1000","PNG","20503","L2 SUPPORTING REFERENCE"
"L2_Reference/v001/UV_Infantry_A_Base_LOD0.png","1024","1024","PNG","37948","L2 SUPPORTING REFERENCE"
"L2_Reference/v001/UV_Infantry_A_TeamColor_LOD0.png","1024","1024","PNG","22490","L2 SUPPORTING REFERENCE"
"Screenshots/Blender/01_Front.png","768","768","PNG","579942","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/02_Left.png","768","768","PNG","551668","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/03_Right.png","768","768","PNG","551478","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/04_Back.png","768","768","PNG","579251","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/05_ThreeQuarter_Front.png","768","768","PNG","585777","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/06_ThreeQuarter_Back.png","768","768","PNG","587002","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/Clay_3Q.png","768","768","PNG","579488","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/Clay_Back.png","768","768","PNG","574455","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/Clay_Front.png","768","768","PNG","580167","GENERATED REVIEW EVIDENCE"
"Screenshots/Blender/Clay_Side.png","768","768","PNG","556806","GENERATED REVIEW EVIDENCE"
"Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_1920x1080_31m_Blue.png","1920","1080","PNG","9939","LEGACY MATHEMATICAL PREVIEW"
"Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_1920x1080_31m_Red.png","1920","1080","PNG","9928","LEGACY MATHEMATICAL PREVIEW"
"Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_960x540_31m_Blue.png","960","540","PNG","3350","LEGACY MATHEMATICAL PREVIEW"
"Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_960x540_31m_Red.png","960","540","PNG","3336","LEGACY MATHEMATICAL PREVIEW"
"Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_960x540_40m_Blue.png","960","540","PNG","3189","LEGACY MATHEMATICAL PREVIEW"
"Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_960x540_8m_Blue.png","960","540","PNG","5360","LEGACY MATHEMATICAL PREVIEW"
"Screenshots/Existing/Unity/Detail/InfantryDetail_Back.png","960","540","PNG","87308","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Detail/InfantryDetail_Front.png","960","540","PNG","58726","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Detail/InfantryDetail_Side.png","960","540","PNG","63807","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Detail/InfantryMovePose_00.png","960","540","PNG","46084","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Detail/InfantryMovePose_01.png","960","540","PNG","46874","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Detail/InfantryMovePose_02.png","960","540","PNG","44365","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Detail/InfantryMovePose_03.png","960","540","PNG","46129","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Infantry_GameView.png","2560","1440","PNG","198074","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Movement/Move_00.png","960","540","PNG","76050","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Movement/Move_01.png","960","540","PNG","79090","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Movement/Move_02.png","960","540","PNG","79756","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Movement/Move_03.png","960","540","PNG","87008","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Movement/Move_04.png","960","540","PNG","69879","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Movement/Move_05.png","960","540","PNG","70997","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Movement/Move_06.png","960","540","PNG","71571","HISTORICAL UNITY CAPTURE"
"Screenshots/Existing/Unity/Movement/Move_07.png","960","540","PNG","75522","HISTORICAL UNITY CAPTURE"
"Screenshots/Wireframe/Wireframe_3Q.png","768","768","PNG","602667","GENERATED REVIEW EVIDENCE"
"Screenshots/Wireframe/Wireframe_Front.png","768","768","PNG","601602","GENERATED REVIEW EVIDENCE"
